Zipcode: "O, Score: PR@"
Zipcode: AST 6, Score: 0
Zipcode: ONNE0, Score: 0
Zipcode: NE L1, Score: 0
Zipcode: CT 06, Score: 0
Zipcode: IN  0, Score: 0
Zipcode: CYT 6, Score: 0
Zipcode: F ED5, Score: 0
Zipcode: KE  0, Score: 0
Zipcode: STA3, Score: 0
Zipcode: ND2, Score: 0
Zipcode: BE9, Score: 0
Zipcode: SEC0, Score: 0
Zipcode: EY A6, Score: 0
Zipcode: VATO9, Score: 0
Zipcode: .NJ.0, Score: 0
Zipcode: SEY 0, Score: 0
Zipcode: 98  0, Score: 0
Zipcode: OUNT8, Score: 0
Zipcode: BLK 1, Score: 0
Zipcode: AD  0, Score: 0
Zipcode: LOT 9, Score: 0
Zipcode: AY C5, Score: 0
Zipcode: 978 0, Score: 0
Zipcode: NA B3, Score: 0
Zipcode: PE A3, Score: 0
Zipcode: DA  0, Score: 0
Zipcode: EAR 2, Score: 0
Zipcode: OK0, Score: 0
Zipcode: 45  0, Score: 0
Zipcode: OREN9, Score: 0
Zipcode: ME 0, Score: 0
Zipcode: R KY0, Score: 0
Zipcode: AYOU0, Score: 0
Zipcode: 597 0, Score: 0
Zipcode: IR) 0, Score: 0
Zipcode: WAT5, Score: 0
Zipcode: N J 0, Score: 0
Zipcode: HWY 9, Score: 0
Zipcode: N CR2, Score: 0
Zipcode: NCE 5, Score: 0
Zipcode: S OF0, Score: 0
Zipcode: TEX1, Score: 0
Zipcode: OF R6, Score: 0
Zipcode: 06  0, Score: 0
Zipcode: 372 0, Score: 0
Zipcode: RY0, Score: 0
Zipcode: 7 I9, Score: 0
Zipcode: W LO2, Score: 0
Zipcode: 43  0, Score: 0
Zipcode: A 700, Score: 0
Zipcode: N WV0, Score: 0
Zipcode: YA P9, Score: 0
Zipcode: RF9, Score: 0
Zipcode: INTW6, Score: 0
Zipcode: PK0, Score: 0
Zipcode: CO.6, Score: 0
Zipcode: AZ9, Score: 0
Zipcode: H ST0, Score: 0
Zipcode: Y 603, Score: 0
Zipcode: SHA2, Score: 0
Zipcode: 161 1, Score: 0
Zipcode: R 007, Score: 0
Zipcode: IA, Score: 0
Zipcode: RENT5, Score: 0
Zipcode: SE 5, Score: 0
Zipcode: THE 5, Score: 0
Zipcode: TY0, Score: 0
Zipcode: FR6, Score: 0
Zipcode: KANI3, Score: 0
Zipcode: C 284, Score: 0
Zipcode: WICH0, Score: 0
Zipcode: APT0, Score: 0
Zipcode: IRE 4, Score: 0
Zipcode: CTY 6, Score: 0
Zipcode: ESTE9, Score: 0
Zipcode: 397 0, Score: 0
Zipcode: ENT 7, Score: 0
Zipcode: LN 0, Score: 0
Zipcode: ER9, Score: 0
Zipcode: N IS3, Score: 0
Zipcode: C 295, Score: 0
Zipcode: B B5, Score: 0
Zipcode: B6, Score: 0
Zipcode: N 0, Score: 0
Zipcode: 6 MI3, Score: 0
Zipcode: MSON0, Score: 0
Zipcode: HECT5, Score: 0
Zipcode: A RD0, Score: 0
Zipcode: CO V9, Score: 0
Zipcode: T 595, Score: 0
Zipcode: HTS 6, Score: 0
Zipcode: 445 0, Score: 0
Zipcode: MOT5, Score: 0
Zipcode: SE3, Score: 0
Zipcode: RDMA5, Score: 0
Zipcode: ORD 7, Score: 0
Zipcode: YLNE0, Score: 0
Zipcode: ON 2, Score: 0
Zipcode: N TR4, Score: 0
Zipcode: C 279, Score: 0
Zipcode: GUAD9, Score: 0
Zipcode: KS  0, Score: 8.433118411626241
Zipcode: LK O5, Score: 8.4365298672943752
Zipcode: LA3, Score: 8.4638215126394432
Zipcode: TER 3, Score: 8.4740558796438439
Zipcode: TY M3, Score: 8.4911131579845112
Zipcode: JORD1, Score: 8.5491079043427831
Zipcode: PA 18, Score: 8.55593081567905
Zipcode: PORT0, Score: 8.590045372360386
Zipcode: LLE 7, Score: 8.6036911950329209
Zipcode: RRET3, Score: 8.6207484733735882
Zipcode: G CI5, Score: 8.6241599290417224
Zipcode: ULLA2, Score: 8.6378057517142555
Zipcode: 028 0, Score: 8.6719203083955918
Zipcode: NO 18, Score: 8.6855661310681267
Zipcode: OIX 5, Score: 8.68897758673626
Zipcode: 2RD 0, Score: 8.72650359908573
Zipcode: THE 9, Score: 8.7606181557670659
Zipcode: WNSH9, Score: 8.7742639784396
Zipcode: T 1 0, Score: 8.8152014464572037
Zipcode: MART9, Score: 8.8527274588066724
Zipcode: GULF0, Score: 8.86978473714734
Zipcode: TRA3, Score: 8.9346023948418782
Zipcode: 4 SE3, Score: 8.9380138505100124
Zipcode: CO9, Score: 8.944836761846279
Zipcode: DG 40, Score: 8.9687169515232146
Zipcode: ROIX0, Score: 8.9789513185276153
Zipcode: 572 0, Score: 9.0233002422133524
Zipcode: 8 BY0, Score: 9.0267116978814865
Zipcode: X US5, Score: 9.0608262545628211
Zipcode: ARGE5, Score: 9.074472077235356
Zipcode: 5 SE3, Score: 9.1017637225804258
Zipcode: CLER4, Score: 9.1085866339166923
Zipcode: TT P1, Score: 9.1290553679254938
Zipcode: DU3, Score: 9.1392897349298945
Zipcode: TE C8, Score: 9.15293555760243
Zipcode: TION0, Score: 9.1699928359430967
Zipcode: E RI5, Score: 9.1734042916112291
Zipcode: IN9, Score: 9.1938730256200323
Zipcode: LE J6, Score: 9.2075188482925654
Zipcode: NSHP0, Score: 9.2723365059871039
Zipcode: 18  0, Score: 9.2757479616552381
Zipcode: TA R9, Score: 9.2859823286596388
Zipcode: 129 0, Score: 9.2928052399959071
Zipcode: WV 25, Score: 9.3098625183365744
Zipcode: E S 6, Score: 9.39173745437178
Zipcode: E RT0, Score: 9.3951489100399144
Zipcode: OIX 4, Score: 9.3985603657080468
Zipcode: 46  0, Score: 9.4531436563981863
Zipcode: 844 0, Score: 9.48725821307952
Zipcode: NGST6, Score: 9.5009040357520558
Zipcode: O VA0, Score: 9.5145498584245889
Zipcode: R HA9, Score: 9.5213727697608572
Zipcode: 380 0, Score: 9.5486644151059252
Zipcode: L MO2, Score: 9.5691331491147267
Zipcode: 130 0, Score: 9.575956060450995
Zipcode: WA 0, Score: 9.5793675161191274
Zipcode: HAMR6, Score: 9.5930133387916623
Zipcode: NS S4, Score: 9.62030498413673
Zipcode: E TE9, Score: 9.630539351141131
Zipcode: UR1, Score: 9.6373622624774
Zipcode: IN 4, Score: 9.6441851738136659
Zipcode: CRK 7, Score: 9.7294715655170059
Zipcode: AMBU9, Score: 9.78064340053901
Zipcode: AR A3, Score: 9.7840548562071437
Zipcode: UN C3, Score: 9.7874663118752778
Zipcode: ILSO5, Score: 9.790877767543412
Zipcode: E AT0, Score: 9.8113465015522117
Zipcode: GE C3, Score: 9.8386381468972814
Zipcode: 4 RA5, Score: 9.8420496025654138
Zipcode: LFFO3, Score: 9.845461058233548
Zipcode: 11 W6, Score: 9.8898099819192851
Zipcode: A 157, Score: 9.9000443489236858
Zipcode: K8, Score: 9.9068672602599523
Zipcode: HOUN0, Score: 9.9102787159280865
Zipcode: ANDO3, Score: 9.9171016272643531
Zipcode: ATLA5, Score: 9.9375703612731563
Zipcode: R EN4, Score: 9.95121618394569
Zipcode: S CO0, Score: 9.958039095281956
Zipcode: CRK0, Score: 9.98874219629516
Zipcode: S 390, Score: 10.033091119980895
Zipcode: MA5, Score: 10.04673694265343
Zipcode: SID5, Score: 10.053559853989698
Zipcode: SLIP0, Score: 10.056971309657831
Zipcode: DAR5, Score: 10.067205676662232
Zipcode: CY 3, Score: 10.097908777675434
Zipcode: 660 0, Score: 10.111554600347969
Zipcode: ON. 0, Score: 10.118377511684235
Zipcode: YOU 1, Score: 10.121788967352369
Zipcode: I   0, Score: 10.176372258042507
Zipcode: 76  0, Score: 10.17978371371064
Zipcode: 841 0, Score: 10.186606625046908
Zipcode: RT 8, Score: 10.21730972606011
Zipcode: 50  0, Score: 10.234367004400777
Zipcode: 945 0, Score: 10.237778460068911
Zipcode: OUND9, Score: 10.241189915737046
Zipcode: XIE 3, Score: 10.254835738409579
Zipcode: NC 0, Score: 10.271893016750248
Zipcode: ST0, Score: 10.288950295090915
Zipcode: 503 0, Score: 10.292361750759049
Zipcode: 67  0, Score: 10.326476307440386
Zipcode: SSIP7, Score: 10.329887763108518
Zipcode: LAND0, Score: 10.340122130112919
Zipcode: CO I3, Score: 10.346945041449187
Zipcode: ERTY0, Score: 10.357179408453588
Zipcode: P9, Score: 10.364002319789854
Zipcode: T TW7, Score: 10.398116876471191
Zipcode: NTER2, Score: 10.401528332139325
Zipcode: UA0, Score: 10.421997066148126
Zipcode: 3  0, Score: 10.428819977484393
Zipcode: RR 10, Score: 10.439054344488794
Zipcode: AVAC1, Score: 10.47316890117013
Zipcode: OYE 7, Score: 10.497049090847064
Zipcode: LS  0, Score: 10.510694913519599
Zipcode: 040 0, Score: 10.524340736192134
Zipcode: 1  0, Score: 10.527752191860266
Zipcode: VGA 3, Score: 10.544809470200935
Zipcode: ITY 0, Score: 10.558455292873468
Zipcode: PA 16, Score: 10.565278204209736
Zipcode: NBIO0, Score: 10.599392760891073
Zipcode: NBON0, Score: 10.602804216559205
Zipcode: AS C3, Score: 10.606215672227339
Zipcode: NORE0, Score: 10.613038583563608
Zipcode: IND 0, Score: 10.640330228908676
Zipcode: S CT8, Score: 10.667621874253744
Zipcode: LOT 0, Score: 10.671033329921878
Zipcode: WY L1, Score: 10.732439531948282
Zipcode: 31  0, Score: 10.749496810288949
Zipcode: VER 5, Score: 10.780199911302153
Zipcode: 'HAL3, Score: 10.783611366970286
Zipcode: TWP0, Score: 10.834783201992289
Zipcode: RDA 3, Score: 10.848429024664824
Zipcode: BKS0, Score: 10.903012315354962
Zipcode: IN4, Score: 10.913246682359363
Zipcode: FL 6, Score: 10.943949783372565
Zipcode: 382 0, Score: 10.950772694708832
Zipcode: T ON0, Score: 10.974652884385767
Zipcode: 886 0, Score: 10.978064340053901
Zipcode: 0 P25, Score: 10.984887251390168
Zipcode: N US0, Score: 11.005355985398969
Zipcode: ROM 8, Score: 11.019001808071504
Zipcode: STOR5, Score: 11.022413263739637
Zipcode: DR  0, Score: 11.025824719407771
Zipcode: R.006, Score: 11.032647630744039
Zipcode: HER 2, Score: 11.039470542080306
Zipcode: CTY 0, Score: 11.049704909084706
Zipcode: AG5, Score: 11.076996554429776
Zipcode: 3 17, Score: 11.080408010097909
Zipcode: ONT5, Score: 11.083819465766043
Zipcode: TO L1, Score: 11.111111111111111
Zipcode: EFFE9, Score: 11.121345478115511
Zipcode: 224 0, Score: 11.128168389451778
Zipcode: O CO4, Score: 11.141814212124315
Zipcode: OFC 6, Score: 11.152048579128714
Zipcode: 24  0, Score: 11.155460034796848
Zipcode: H NJ0, Score: 11.165694401801249
Zipcode: MD  0, Score: 11.169105857469381
Zipcode: CIT8, Score: 11.182751680141918
Zipcode: U   0, Score: 11.18616313581005
Zipcode: RES 1, Score: 11.192986047146318
Zipcode: 2 BL2, Score: 11.203220414150717
Zipcode: R RD0, Score: 11.24415788216832
Zipcode: MS 39, Score: 11.264626616177123
Zipcode: ANDE0, Score: 11.27144952751339
Zipcode: UCK 9, Score: 11.281683894517791
Zipcode: LINE0, Score: 11.295329717190326
Zipcode: IX  0, Score: 11.29874117285846
Zipcode: CAM7, Score: 11.305564084194726
Zipcode: ORAD6, Score: 11.329444273871662
Zipcode: TN0, Score: 11.339678640876063
Zipcode: GIL5, Score: 11.343090096544195
Zipcode: SW 11, Score: 11.370381741889265
Zipcode: WS  0, Score: 11.401084842902467
Zipcode: 045 0, Score: 11.438610855251936
Zipcode: CON3, Score: 11.445433766588204
Zipcode: E ID0, Score: 11.448845222256336
Zipcode: NY  0, Score: 11.469313956265138
Zipcode: LK 4, Score: 11.472725411933272
Zipcode: LE V3, Score: 11.486371234605807
Zipcode: 101 0, Score: 11.534131613959676
Zipcode: S#168, Score: 11.558011803636612
Zipcode: T AL0, Score: 11.571657626309147
Zipcode: TAL 2, Score: 11.588714904649814
Zipcode: 44  0, Score: 11.61259509432675
Zipcode: TON 1, Score: 11.619418005663016
Zipcode: NC, Score: 11.622829461331149
Zipcode: LER 0, Score: 11.653532562344353
Zipcode: K CO0, Score: 11.656944018012485
Zipcode: S PA0, Score: 11.674001296353154
Zipcode: ND 0, Score: 11.680824207689421
Zipcode: HI, Score: 11.701292941698222
Zipcode: ALIL5, Score: 11.711527308702625
Zipcode: MORE3, Score: 11.714938764370757
Zipcode: 60  0, Score: 11.731996042711424
Zipcode: R4E 3, Score: 11.769522055060895
Zipcode: SCHE5, Score: 11.776344966397161
Zipcode: 56  0, Score: 11.779756422065295
Zipcode: SC2, Score: 11.78316787773343
Zipcode: PIK5, Score: 11.789990789069696
Zipcode: C1, Score: 11.810459523078498
Zipcode: 'S S3, Score: 11.81387097874663
Zipcode: 22 0, Score: 11.820693890082898
Zipcode: HAVE5, Score: 11.827516801419167
Zipcode: NE C9, Score: 11.834339712755433
Zipcode: EPAS0, Score: 11.844574079759832
Zipcode: MOB9, Score: 11.844574079759832
Zipcode: FL 33, Score: 11.865042813768635
Zipcode: ANDR8, Score: 11.878688636441169
Zipcode: TGOM5, Score: 11.882100092109303
Zipcode: ANSA2, Score: 11.909391737454373
Zipcode: LAY 3, Score: 11.92644901579504
Zipcode: RT T7, Score: 11.933271927131308
Zipcode: M9, Score: 11.943506294135707
Zipcode: SC0, Score: 11.957152116808242
Zipcode: TWSH0, Score: 11.967386483812643
Zipcode: LVD 0, Score: 12.004912496162113
Zipcode: KS, Score: 12.008323951830246
Zipcode: 459 4, Score: 12.015146863166514
Zipcode: CO.9, Score: 12.02196977450278
Zipcode: 13W 0, Score: 12.032204141507181
Zipcode: 0 0, Score: 12.079964520861051
Zipcode: ON C6, Score: 12.090198887865453
Zipcode: ND, Score: 12.100433254869852
Zipcode: S 395, Score: 12.127724900214922
Zipcode: LDIN7, Score: 12.134547811551188
Zipcode: 757 0, Score: 12.141370722887455
Zipcode: RT 80, Score: 12.151605089891856
Zipcode: SW 0, Score: 12.161839456896258
Zipcode: ERS 0, Score: 12.18230819090506
Zipcode: ERSE8, Score: 12.189131102241326
Zipcode: TY V1, Score: 12.236891481595197
Zipcode: P PA0, Score: 12.247125848599598
Zipcode: ARDO0, Score: 12.260771671272131
Zipcode: 1 CY0, Score: 12.264183126940265
Zipcode: BRUS2, Score: 12.271006038276532
Zipcode: N O 4, Score: 12.274417493944666
Zipcode: Y PA0, Score: 12.2778289496128
Zipcode: LLE 9, Score: 12.284651860949067
Zipcode: PT 9, Score: 12.294886227953468
Zipcode: TE R4, Score: 12.2982976836216
Zipcode: JA P9, Score: 12.332412240302936
Zipcode: ENVI3, Score: 12.339235151639203
Zipcode: PH 3, Score: 12.346058062975471
Zipcode: AS T7, Score: 12.35288097431174
Zipcode: TE 20, Score: 12.359703885648006
Zipcode: VIL 8, Score: 12.383584075324942
Zipcode: BR9, Score: 12.386995530993076
Zipcode: S 2, Score: 12.431344454678811
Zipcode: ND N5, Score: 12.438167366015078
Zipcode: H 038, Score: 12.444990277351346
Zipcode: D 2, Score: 12.451813188687613
Zipcode: HT O6, Score: 12.530276669054686
Zipcode: NA  0, Score: 12.533688124722818
Zipcode: 060 0, Score: 12.537099580390954
Zipcode: PAG5, Score: 12.543922491727219
Zipcode: IN S3, Score: 12.554156858731622
Zipcode: R CT8, Score: 12.574625592740421
Zipcode: COU5, Score: 12.58144850407669
Zipcode: IL3, Score: 12.598505782417357
Zipcode: DIS 6, Score: 12.608740149421758
Zipcode: ER M9, Score: 12.612151605089892
Zipcode: K LA0, Score: 12.612151605089892
Zipcode: S MS0, Score: 12.629208883430559
Zipcode: ITUR5, Score: 12.646266161771228
Zipcode: RTAN5, Score: 12.653089073107497
Zipcode: LSE 9, Score: 12.656500528775631
Zipcode: INGS0, Score: 12.670146351448164
Zipcode: MA, Score: 12.721318186470167
Zipcode: URCH9, Score: 12.728141097806434
Zipcode: MA 0, Score: 12.731552553474568
Zipcode: NT8, Score: 12.769078565824039
Zipcode: 6   0, Score: 12.775901477160303
Zipcode: 40  0, Score: 12.789547299832837
Zipcode: 097 0, Score: 12.806604578173506
Zipcode: NT A3, Score: 12.823661856514173
Zipcode: C 120, Score: 12.827073312182307
Zipcode: 106 0, Score: 12.830484767850441
Zipcode: T PI2, Score: 12.83730767918671
Zipcode: OF 8, Score: 12.908948248217515
Zipcode: TOW5, Score: 12.919182615221917
Zipcode: LO9, Score: 12.946474260566983
Zipcode: SL P2, Score: 12.984000272916454
Zipcode: OFC0, Score: 12.994234639920855
Zipcode: D NY0, Score: 13.035172107938459
Zipcode: 3E M9, Score: 13.041995019274724
Zipcode: OR  0, Score: 13.052229386279127
Zipcode: O BR9, Score: 13.055640841947259
Zipcode: LL C3, Score: 13.069286664619792
Zipcode: 330 0, Score: 13.086343942960459
Zipcode: LSVI3, Score: 13.106812676969263
Zipcode: STA0, Score: 13.110224132637397
Zipcode: BA1, Score: 13.117047043973665
Zipcode: G 4, Score: 13.12386995530993
Zipcode: DER 3, Score: 13.127281410978064
Zipcode: NE F3, Score: 13.137515777982465
Zipcode: BAY0, Score: 13.140927233650599
Zipcode: N CO0, Score: 13.151161600655001
Zipcode: O DE0, Score: 13.154573056323132
Zipcode: B CO0, Score: 13.157984511991266
Zipcode: IL 6, Score: 13.164807423327535
Zipcode: FL9, Score: 13.20915634701327
Zipcode: 564 0, Score: 13.233036536690207
Zipcode: CHI3, Score: 13.253505270699007
Zipcode: TRAC3, Score: 13.260328182035275
Zipcode: ERTA0, Score: 13.277385460375942
Zipcode: O RI3, Score: 13.280796916044077
Zipcode: 48  0, Score: 13.359260396411148
Zipcode: 629 0, Score: 13.366083307747415
Zipcode: G CO0, Score: 13.38996349742435
Zipcode: CO N5, Score: 13.396786408760619
Zipcode: CE I2, Score: 13.403609320096885
Zipcode: AM I3, Score: 13.430900965441955
Zipcode: WY C6, Score: 13.437723876778222
Zipcode: ALL 4, Score: 13.44454678811449
Zipcode: NS5, Score: 13.482072800463957
Zipcode: 1 W0, Score: 13.485484256132091
Zipcode: D LE5, Score: 13.502541534472758
Zipcode: TY W5, Score: 13.509364445809027
Zipcode: 018 7, Score: 13.512775901477161
Zipcode: OS T7, Score: 13.523010268481562
Zipcode: E FD1, Score: 13.536656091154095
Zipcode: MN0, Score: 13.611708115853036
Zipcode: E TX0, Score: 13.649234128202503
Zipcode: CH  0, Score: 13.652645583870637
Zipcode: AND 0, Score: 13.659468495206905
Zipcode: GR5, Score: 13.731109064237708
Zipcode: 207 0, Score: 13.744754886910245
Zipcode: TES 0, Score: 13.748166342578378
Zipcode: OKE 3, Score: 13.754989253914646
Zipcode: AK9, Score: 13.765223620919045
Zipcode: NB R9, Score: 13.789103810595982
Zipcode: 968 0, Score: 13.802749633268515
Zipcode: D ST0, Score: 13.81639545594105
Zipcode: RIO 7, Score: 13.819806911609184
Zipcode: PAS1, Score: 13.830041278613583
Zipcode: HAM 3, Score: 13.840275645617986
Zipcode: IN 47, Score: 13.84368710128612
Zipcode: ON B1, Score: 13.847098556954251
Zipcode: QUIN3, Score: 13.884624569303721
Zipcode: S LA0, Score: 13.891447480639989
Zipcode: AR2, Score: 13.894858936308122
Zipcode: O PA0, Score: 13.928973492989458
Zipcode: M LO7, Score: 13.939207859993861
Zipcode: USVI3, Score: 13.966499505338929
Zipcode: VI, Score: 13.983556783679596
Zipcode: PA 0, Score: 13.98696823934773
Zipcode: S 0, Score: 13.990379695015864
Zipcode: MPTO5, Score: 13.993791150683995
Zipcode: IT 20, Score: 14.007436973356532
Zipcode: T LA0, Score: 14.021082796029066
Zipcode: NC 28, Score: 14.048374441374134
Zipcode: IL F1, Score: 14.058608808378533
Zipcode: LES 3, Score: 14.062020264046668
Zipcode: LA F3, Score: 14.079077542387337
Zipcode: AR0, Score: 14.085900453723605
Zipcode: A PR0, Score: 14.089311909391739
Zipcode: OVEY@, Score: 14.09272336505987
Zipcode: P NY0, Score: 14.096134820728004
Zipcode: TAGO9, Score: 14.099546276396138
Zipcode: RI0, Score: 14.102957732064272
Zipcode: 53  0, Score: 14.109780643400537
Zipcode: URG 7, Score: 14.120015010404941
Zipcode: CO 1, Score: 14.164363934090677
Zipcode: NC0, Score: 14.171186845426945
Zipcode: D 306, Score: 14.181421212431344
Zipcode: UMCO9, Score: 14.21553576911268
Zipcode: NVIL3, Score: 14.232593047453349
Zipcode: KSBU9, Score: 14.236004503121483
Zipcode: ON C9, Score: 14.246238870125882
Zipcode: G RI5, Score: 14.27353051547095
Zipcode: LE S8, Score: 14.338348173165491
Zipcode: NY 0, Score: 14.389520008187493
Zipcode: ALAP1, Score: 14.399754375191895
Zipcode: T PR1, Score: 14.416811653532562
Zipcode: RT O5, Score: 14.437280387541366
Zipcode: P1, Score: 14.454337665882031
Zipcode: UIS 4, Score: 14.485040766895235
Zipcode: ERS 3, Score: 14.49868658956777
Zipcode: NY9, Score: 14.508920956572169
Zipcode: CY I3, Score: 14.522566779244702
Zipcode: FL3, Score: 14.556681335926038
Zipcode: TILL5, Score: 14.570327158598573
Zipcode: DE, Score: 14.58397298127111
Zipcode: PR 0, Score: 14.58738443693924
Zipcode: LEV5, Score: 14.590795892607375
Zipcode: LLE 4, Score: 14.611264626616178
Zipcode: NH0, Score: 14.614676082284312
Zipcode: WEB5, Score: 14.652202094633779
Zipcode: R LI5, Score: 14.669259372974446
Zipcode: C3, Score: 14.67267082864258
Zipcode: SCHO6, Score: 14.676082284310715
Zipcode: IL5, Score: 14.686316651315115
Zipcode: UERO2, Score: 14.699962473987652
Zipcode: 210 0, Score: 14.710196840992051
Zipcode: HNAC0, Score: 14.713608296660185
Zipcode: I 088, Score: 14.723842663664586
Zipcode: HIS 3, Score: 14.730665575000854
Zipcode: INOI2, Score: 14.737488486337119
Zipcode: & RI5, Score: 14.754545764677788
Zipcode: 96  0, Score: 14.764780131682191
Zipcode: 759 0, Score: 14.798894688363525
Zipcode: S AR5, Score: 14.805717599699792
Zipcode: STON5, Score: 14.809129055367926
Zipcode: CAE2, Score: 14.819363422372325
Zipcode: PIKE5, Score: 14.829597789376727
Zipcode: OHI6, Score: 14.833009245044861
Zipcode: DUB4, Score: 14.856889434721795
Zipcode: LIP 0, Score: 14.887592535734997
Zipcode: ECLU2, Score: 14.891003991403132
Zipcode: E OF0, Score: 14.904649814075665
Zipcode: ISA2, Score: 14.921707092416334
Zipcode: OFFI3, Score: 14.945587282093269
Zipcode: 119 0, Score: 14.976290383106472
Zipcode: IL H3, Score: 15.00358202845154
Zipcode: A BA1, Score: 15.017227851124074
Zipcode: AJA 7, Score: 15.027462218128477
Zipcode: ND C3, Score: 15.034285129464742
Zipcode: LL C6, Score: 15.051342407805409
Zipcode: DG 70, Score: 15.061576774809811
Zipcode: AN  0, Score: 15.082045508818611
Zipcode: ARD 0, Score: 15.109337154163683
Zipcode: THIT3, Score: 15.122982976836216
Zipcode: MA0, Score: 15.133217343840617
Zipcode: VLG0, Score: 15.140040255176885
Zipcode: PR  0, Score: 15.191212090198889
Zipcode: LAKE0, Score: 15.208269368539556
Zipcode: 32  0, Score: 15.218503735543957
Zipcode: ILLE0, Score: 15.221915191212091
Zipcode: ISL 4, Score: 15.23214955821649
Zipcode: 74 H2, Score: 15.249206836557159
Zipcode: 71  0, Score: 15.286732848906629
